,國文,英文,數學,地理,探討
溫法堯,52,62,55,93,82
黃心航,59,58,50,52,96
葉志峰,96,90,68,68,100
陳怡珊,86,60,66,82,89
張天亨,62,78,81,81,62
陳得映,51,76,72,65,97
郭致恬,63,90,94,55,51
王明昇,100,77,74,52,90
劉林中,98,52,86,93,85
鄧淑娟,75,70,96,85,58
黎惠雯,77,64,69,50,89
龐皓芳,99,79,99,53,87
許淑婷,79,77,71,60,58
張俊傑,56,80,58,52,87
黃佩芬,89,88,97,100,94
梁柏宇,82,99,93,71,94
潘英迪,90,100,86,92,65
林志喜,54,87,62,58,54
林瑞喬,86,97,75,68,94
黃旻林,73,53,70,56,77
王士銘,73,52,75,91,100
王雅琴,84,68,78,59,94
楊韋廷,66,98,80,92,56
余宗儒,67,72,64,84,67
趙家豪,93,66,96,91,99
柯韋成,80,53,68,52,96
張韋成,55,74,99,90,52
張伊映,55,65,82,57,68
林玉佩,72,99,100,76,85
楊偉翔,92,65,63,98,81
聶心怡,59,56,70,76,50
林佳慧,62,80,73,50,63
鞠冠宇,97,92,90,56,73
張雅芬,63,88,69,99,66
洪阿惠,87,79,93,99,73
陳建豪,57,81,74,66,98
林志成,55,72,72,74,85
鄭孟芳,66,92,57,80,62
張嘉韋,57,93,86,64,90
孫火清,96,75,100,92,50
林佳光,83,97,68,76,82
楊少亮,61,53,52,75,73
游詩亞,74,53,57,86,89
謝南慧,60,82,55,79,64
楊健麟,89,92,92,90,58
簡佳樺,71,94,90,54,84
馮耀中,82,78,78,78,75
陳信念,93,79,85,78,71
藍姿婷,65,76,95,67,73
謝貞妃,82,50,71,81,73
